llc_coords_index,counts,latitude,longitude,ssha_karin_2_mean,ssha_karin_2_std
34987,28,-38.380806,119.5,-0.08792926875432107,0.031899661998665375
35075,1692,-37.592766,117.5,0.14403600704617023,0.0663953784590838
35076,3884,-37.592766,118.5,-0.02634761956730081,0.07578261703639937
35077,642,-37.592766,119.5,-0.1461965904791785,0.019298243158906783
35165,820,-36.795853,117.5,0.18069221277541433,0.03828612745940787
35166,3964,-36.795853,118.5,0.05052245866989806,0.07541662285851947
35167,1494,-36.795853,119.5,-0.059937778360243804,0.04103153432001116
35255,82,-35.990143,117.5,0.2133372576280131,0.02080861310416508
35256,3904,-35.990143,118.5,0.07191371002745052,0.07768328790126408
35257,2362,-35.990143,119.5,-0.2126081560719731,0.0834031925680741
35346,3152,-35.175728,118.5,0.15928380378092336,0.06318653110411296
35347,3254,-35.175728,119.5,-0.03936685344257132,0.05968806934085552
35436,2118,-34.352703,118.5,0.14593098721333,0.09237810772578295
35437,3618,-34.352703,119.5,0.07155086749039623,0.07732638714189331
35438,66,-34.352703,120.5,0.04845524389316378,0.026396149276769115
35526,1398,-33.521168,118.5,,
35527,4308,-33.521168,119.5,,
35528,798,-33.521168,120.5,0.27208388733208383,0.022916191742344993
35616,530,-32.681244,118.5,,
35617,4328,-32.681244,119.5,,
35618,1434,-32.681244,120.5,,
35706,2,-31.833044,118.5,,
35707,2578,-31.833044,119.5,,
35708,2016,-31.833044,120.5,,
35797,3236,-30.976704,119.5,,
35798,3328,-30.976704,120.5,,
35887,310,-30.112358,119.5,,
35888,32,-30.112358,120.5,,
35977,480,-29.240158,119.5,,
35978,2410,-29.240158,120.5,,
35979,400,-29.240158,121.5,,
36067,340,-28.360258,119.5,,
36068,2532,-28.360258,120.5,,
36069,876,-28.360258,121.5,,
36158,2872,-27.472822,120.5,,
36159,1542,-27.472822,121.5,,
36248,2434,-26.578028,120.5,,
36249,1908,-26.578028,121.5,,
36338,2330,-25.676054,120.5,,
36339,3618,-25.676054,121.5,,
36428,918,-24.767094,120.5,,
36429,1490,-24.767094,121.5,,
36789,1584,-21.065521,121.5,,
36790,1590,-21.065521,122.5,,
36969,216,-19.178421,121.5,,
36970,1418,-19.178421,122.5,,
36971,114,-19.178421,123.5,,
37059,872,-18.226631,121.5,0.0041768742226710774,0.04998624227819558
37060,5582,-18.226631,122.5,0.026009954356691276,0.13817298569699926
37061,930,-18.226631,123.5,,
37149,88,-17.269691,121.5,-0.09325092425777677,0.020280251357954148
37150,5504,-17.269691,122.5,0.03525337036519736,0.16545979618446338
37151,1828,-17.269691,123.5,-0.29253095286354586,0.2230147830268695
37240,4720,-16.30787,122.5,0.10894529042158693,0.10515192363435502
37241,2738,-16.30787,123.5,0.1021515634926355,0.20035389441281581
37330,3824,-15.341454,122.5,0.14091430002240407,0.019388966008904905
37331,3658,-15.341454,123.5,0.11887735237695606,0.07138667684431715
37420,2940,-14.370769,122.5,0.11635515137207253,0.03086482699414002
37421,4578,-14.370769,123.5,0.0236118700852906,0.04456383520699204
37510,2030,-13.396229,122.5,0.09507868588219295,0.03709499890507381
37511,5500,-13.396229,123.5,-0.012460507175306381,0.045515345240593814
37512,8,-13.396229,124.5,,
37600,1120,-12.418467,122.5,0.1021126889511196,0.08047900201979567
37601,5890,-12.418467,123.5,0.013096259933647351,0.06738795016815938
37602,550,-12.418467,124.5,-0.057956457399011604,0.015957111338979788
37690,244,-11.438585,122.5,0.14155280004174922,0.026667155273907693
37691,5880,-11.438585,123.5,0.013633581611301387,0.049024255853077604
37692,1442,-11.438585,124.5,-0.06787429698053825,0.018668276169654923
37781,5230,-10.458642,123.5,0.0391215130272711,0.13041685588913574
37782,2324,-10.458642,124.5,-0.08685324610259976,0.08299009381975361
37871,4312,-9.482398,123.5,0.08194367038377193,0.06758886341829244
37872,3182,-9.482398,124.5,0.09318759890338658,0.13338536828437594
37961,3394,-8.516253,123.5,0.0607160087453656,0.11614228074565347
37962,3984,-8.516253,124.5,0.018720774778346015,0.11506770979370748
38051,2500,-7.5699615,123.5,0.06738770024545504,0.060649805617613024
38052,4674,-7.5699615,124.5,0.004053683025097749,0.07151618066322155
38141,1648,-6.6564093,123.5,0.10483153816224132,0.032844256444544
38142,5208,-6.6564093,124.5,0.0005761230882918765,0.06678330926092224
38143,12,-6.6564093,125.5,,
38231,890,-5.789828,123.5,0.16396628860376394,0.08817738932106685
38232,5124,-5.789828,124.5,0.010142834929006072,0.0627406204223471
38233,444,-5.789828,125.5,-0.04509026930180706,0.04239905785444595
38321,252,-4.9826937,123.5,0.14407640845950687,0.037336176070211946
38322,4746,-4.9826937,124.5,0.03800186179905976,0.06740758418151924
38323,968,-4.9826937,125.5,-0.057949124821000036,0.030823659731760857
38412,4088,-4.242721,124.5,0.05199522221110009,0.053615819542261106
38413,1358,-4.242721,125.5,-0.048453791045097526,0.043574222774559065
38502,3312,-3.5714824,124.5,0.03938066228772112,0.07029199287843382
38503,1612,-3.5714824,125.5,-0.04522170112051691,0.02894478162599007
38592,2680,-2.9650526,124.5,0.021951898186618846,0.04376125512847812
38593,1780,-2.9650526,125.5,-0.02106036807083965,0.050815351627764516
38682,2174,-2.4158337,124.5,0.024087015962022104,0.04311211547732811
38683,1876,-2.4158337,125.5,-0.05460558337301762,0.050061802537388754
38772,1776,-1.9144648,124.5,0.07016887559739891,0.1393039568131419
38773,1942,-1.9144648,125.5,0.054123268624965616,0.1827968923770588
38862,1472,-1.451202,124.5,0.021990912671440082,0.07235629514016237
38863,1990,-1.451202,125.5,-0.03573977546928313,0.04875549210955264
38952,1220,-1.0166655,124.5,0.014935501259648752,0.039344603402174834
38953,2056,-1.0166655,125.5,-0.04306399764672699,0.03374854505251929
39042,1022,-0.6021043,124.5,0.024648110103022956,0.043392335649001565
39043,2128,-0.6021043,125.5,-0.04620912080320159,0.03886427565440495
39132,856,-0.19936521,124.5,0.04072062874978442,0.06794789735920866
39133,2234,-0.19936521,125.5,-0.06743233518292317,0.0643923201847191
39222,712,0.19936521,124.5,0.049100697420747665,0.0683171432959115
39223,2378,0.19936521,125.5,-0.02725430842256957,0.07238199575802777
39312,578,0.6021043,124.5,0.03756567753226314,0.09292254252128648
39313,2512,0.6021043,125.5,-0.023193003433252868,0.057961495179387694
39314,60,0.6021043,126.5,-0.10437814710587952,0.03240244117303867
39402,442,1.0166655,124.5,-0.027360400285264676,0.3253574928095673
39403,2614,1.0166655,125.5,-0.03170994401336173,0.0939544782731624
39404,220,1.0166655,126.5,-0.0813445401804896,0.03642208525709934
39492,286,1.451202,124.5,,
39493,2766,1.451202,125.5,-0.014492150301122931,0.12490687793303218
39494,410,1.451202,126.5,-0.057775305035532826,0.04481654136528567
39582,112,1.9144648,124.5,0.16636435358103063,0.09755542384328339
39583,2964,1.9144648,125.5,-0.0216073977945876,0.10053991373808432
39584,642,1.9144648,126.5,-0.026371462318692872,0.0594790609300067
39673,3114,2.4158337,125.5,-0.006611423771785102,0.08867166108208467
39674,936,2.4158337,126.5,-0.010389143384531303,0.07257034330155585
39763,3138,2.9650526,125.5,-0.0020062072669899144,0.08383235457287051
39764,1322,2.9650526,126.5,-0.014164942758463795,0.06342069719058209
39853,3114,3.5714824,125.5,0.016495684854247693,0.1285316065310739
39854,1810,3.5714824,126.5,0.0025583041077999412,0.05302962558524955
39943,3016,4.242721,125.5,0.061357729772859256,0.07416517411571436
39944,2430,4.242721,126.5,-0.04713959240695961,0.04386659771568965
40033,2784,4.9826937,125.5,0.07504845102974904,0.06536254821485919
40034,3182,4.9826937,126.5,-0.058548093388675435,0.04928988158842377
40123,2406,5.789828,125.5,0.08196616275347729,0.08193011706435938
40124,4052,5.789828,126.5,-0.036478851271815396,0.05943370688969654
40213,1858,6.6564093,125.5,0.0857293603628197,0.09681179483026574
40214,5010,6.6564093,126.5,-0.016119028074969836,0.13440930139097265
40303,1132,7.5699615,125.5,-0.0033523963151106174,0.2262736300402296
40304,5448,7.5699615,126.5,-0.04887840848315423,0.08074701482348366
40305,318,7.5699615,127.5,0.00785271752578879,0.10641575364612271
40393,388,8.516253,125.5,,
40394,5820,8.516253,126.5,-0.02505916550142917,0.12978625512172345
40395,1170,8.516253,127.5,-0.05032775478163431,0.03352691064416355
40484,5440,9.482398,126.5,0.002521470811119845,0.08404932671557436
40485,2054,9.482398,127.5,-0.04950449573361946,0.03851209642274779
40574,4592,10.458642,126.5,-0.03938204751960964,0.11954928192453053
40575,2962,10.458642,127.5,-0.04957104976888927,0.02989242643668017
40664,3706,11.438585,126.5,0.03865821188589804,0.062117921029843905
40665,3862,11.438585,127.5,0.020906145466904485,0.054733809927672246
40754,2802,12.418467,126.5,0.13336692702185815,0.036028127723586316
40755,4756,12.418467,127.5,0.015226862380248918,0.05056882514508197
40844,1898,13.396229,126.5,0.08867923665094593,0.03652512963235635
40845,5608,13.396229,127.5,0.04219108494625935,0.06349643173889721
40846,36,13.396229,128.5,,
40934,994,14.370769,126.5,0.048710273151124604,0.06284212152377006
40935,5804,14.370769,127.5,-0.04312242864576227,0.05220879581934413
40936,716,14.370769,128.5,-0.08067517877081565,0.06246763459080837
41024,170,15.341454,126.5,-0.11264959803970784,0.13406299296859167
41025,5690,15.341454,127.5,-0.049153523703498826,0.057858392973844874
41026,1628,15.341454,128.5,-0.058558432819705596,0.027229342630865273
41115,4920,16.30787,127.5,-0.08926820288420134,0.08046766124396995
41116,2532,16.30787,128.5,-0.03657877838281505,0.058552985981529526
41205,3984,17.269691,127.5,-0.1449517066618079,0.036879496912483774
41206,3436,17.269691,128.5,-0.14782302642438813,0.020369906380226937
41295,3066,18.226631,127.5,-0.0716698631712684,0.03828629548872163
41296,4318,18.226631,128.5,-0.08138209452348591,0.06415708887517226
41385,2146,19.178421,127.5,0.03317702829985736,0.036259292570971255
41386,5194,19.178421,128.5,0.1078556520312553,0.037018438334712724
41387,10,19.178421,129.5,,
41475,1248,20.1248,127.5,0.07213509568500669,0.018814555718766463
41476,5464,20.1248,128.5,0.07678227639013323,0.050598230290428016
41477,600,20.1248,129.5,0.00042908228217669483,0.03743445172463219
41565,358,21.065521,127.5,-0.02136310628107207,0.023990792089408408
41566,5380,21.065521,128.5,-0.046159957901335216,0.027422470313026106
41567,1518,21.065521,129.5,-0.05963250976313632,0.016332018574254013
41656,4804,22.00034,128.5,-0.03788093556016554,0.046101412151043845
41657,2418,22.00034,129.5,-0.08315461661271462,0.040927464716722775
41746,3864,22.929024,128.5,0.009640147014141523,0.036658423688936334
41747,3314,22.929024,129.5,-0.1386726692706134,0.05520157480654659
41836,2934,23.851347,128.5,0.06732378274779487,0.06870856401196063
41837,4192,23.851347,129.5,-0.15932891334004487,0.04997680966347951
41926,2032,24.767094,128.5,0.17857823257224112,0.041221381492771
41927,4962,24.767094,129.5,-0.021489930647628924,0.08924803606312758
41928,90,24.767094,130.5,-0.15615707615773824,0.015118510515143988
42016,1128,25.676054,128.5,0.11570160123286073,0.05705885767872201
42017,5038,25.676054,129.5,-0.04478529545577728,0.07029970450594067
42018,866,25.676054,130.5,-0.1420506013282469,0.02407412096961505
42106,268,26.578028,128.5,-0.027253445344543808,0.0371769556959921
42107,4938,26.578028,129.5,-0.06130451535259868,0.038448461837362016
42108,1774,26.578028,130.5,-0.10284503019323783,0.03750729641432005
42197,4264,27.472822,129.5,0.0176209141355256,0.03943446550445035
42198,2664,27.472822,130.5,0.00039235462682122397,0.03148655316761465
42287,3330,28.360258,129.5,0.09024751008351158,0.09960135981209602
42288,3546,28.360258,130.5,0.04936782572707488,0.03098720562691914
42377,2420,29.240158,129.5,-0.05125798421296884,0.1089116604613427
42378,4388,29.240158,130.5,0.008108636260075141,0.06983737351572071
42379,10,29.240158,131.5,,
42467,1524,30.112358,129.5,-0.11002597139736621,0.0815821790368839
42468,4638,30.112358,130.5,-0.018772074830195964,0.08229355153693291
42469,604,30.112358,131.5,0.036540075547422946,0.09385121186092042
42557,646,30.976704,129.5,-0.017002150362001464,0.052714297320066605
42558,4560,30.976704,130.5,-0.0072098915236488426,0.06879555484431868
42559,1498,30.976704,131.5,-0.028902349672177786,0.09779420767381522
42647,28,31.833044,129.5,-0.0668551785855511,0.003160088033053432
42648,4236,31.833044,130.5,-0.02827442007650327,0.18985193760226235
42649,2382,31.833044,131.5,0.15502928859008613,0.2490494943654501
42738,3346,32.681244,130.5,0.35848225962634367,0.29197640952586135
42739,3250,32.681244,131.5,,
42828,2428,33.521168,130.5,0.0852453598101046,0.32643767246065036
42829,4066,33.521168,131.5,0.005535909795136552,0.16589654482235763
42830,30,33.521168,132.5,,
42918,1550,34.352703,130.5,-0.004888643477830991,0.1976283625732218
42919,4224,34.352703,131.5,0.051710024352090336,0.22910357832571399
42920,694,34.352703,132.5,,
43008,690,35.175728,130.5,-0.08759722553497072,0.20961675891046916
43009,4132,35.175728,131.5,-0.019209641407901847,0.2042299706225883
43010,1582,35.175728,132.5,0.13968745392956752,0.16223206783375715
43098,42,35.990143,130.5,-0.07951700680665764,0.025415944662001973
43099,3856,35.990143,131.5,0.013890512068946353,0.04842383923213795
43100,2446,35.990143,132.5,0.07421440789022143,0.05052167166803305
43189,2998,36.795853,131.5,-0.014854570529513254,0.057600572534942406
43190,3286,36.795853,132.5,0.022799964022255873,0.07644750904563126
43279,2114,37.592766,131.5,-0.1153992366007216,0.020653448884579016
43280,3854,37.592766,132.5,0.03486173290748895,0.08521312104534777
43281,250,37.592766,133.5,0.1397694849713158,0.019688628520473088
43369,1254,38.380806,131.5,-0.0388036254797049,0.042925900998848666
43370,3796,38.380806,132.5,0.13084490075656396,0.06796126604257827
43371,1098,38.380806,133.5,0.16405591627815125,0.03821660807672726
43459,420,39.159897,131.5,-0.20254132520952678,0.035905527645906925
43460,3714,39.159897,132.5,-0.006297816333911244,0.13684667591465655
43461,1958,39.159897,133.5,0.19116143569406485,0.02532167529618311
43550,3242,39.92998,132.5,-0.12134139074000738,0.04690253982499158
43551,2782,39.92998,133.5,0.03947634682917468,0.061757729629004464
43640,2368,40.690994,132.5,-0.07352842668258557,0.02726725129776508
43641,3462,40.690994,133.5,0.018906107485792203,0.06501130707316302
43642,126,40.690994,134.5,0.060428270907669245,0.007118181553976507
43730,1520,41.44289,132.5,-0.13446027003304983,0.025325201339024425
43731,3482,41.44289,133.5,-0.03770937495889287,0.04509287461559663
43732,900,41.44289,134.5,0.04509834931366246,0.014313285326120865
43820,698,42.18563,132.5,-0.17929462362696766,0.020865959673594094
43821,3392,42.18563,133.5,-0.07705291221869194,0.05646825191544908
43822,1736,42.18563,134.5,0.051287645100969385,0.02892448706620382
43910,54,42.919178,132.5,-0.15797675762021013,0.050862567103540396
43911,2728,42.919178,133.5,-0.04573487032222826,0.10078832617835316
43912,1548,42.919178,134.5,0.06689970689766628,0.03329311256353657
44091,848,44.358585,133.5,,
44092,2550,44.358585,134.5,,
44093,888,44.358585,135.5,,
44181,322,45.06441,133.5,,
44182,494,45.06441,134.5,,
44183,8,45.06441,135.5,,
44272,1954,45.760967,134.5,,
44273,2326,45.760967,135.5,,
44362,1652,46.448257,134.5,,
44363,1598,46.448257,135.5,,
44364,56,46.448257,136.5,,
44453,10,47.12628,135.5,,
44454,192,47.12628,136.5,,
44542,312,47.795048,134.5,,
